uid,name,url-alias,source,URL,alternate-text-link,Latitude,Longitude,description,relationship-parent-term,relationship-parent-term-weight,alternate-name,broader
vothL336,Algiers,/location/Algiers,GeoNames,https://www.geonames.org/2507480,https://www.geonames.org/2507480,36.73225,3.08746,,Algeria,0,,Algeria
vothL517,Ghardaïa,/location/Ghardaia,GeoNames,https://www.geonames.org/2496049,https://www.geonames.org/2496049,32.49094,3.67347,,Algeria,0,,Algeria
vothL319,Buenos Aires,/location/Buenos-Aires,GeoNames,https://www.geonames.org/3435910,https://www.geonames.org/3435910,-34.61315,-58.37723,,Argentina,0,,Argentina
vothL1,Wien,/location/Wien,GeoNames,https://www.geonames.org/2761367,https://www.geonames.org/2761367,48.2082,16.37169,,Austria,0,Vienna,Austria
vothL2,Mistelbach,/location/Mistelbach,GeoNames,https://www.geonames.org/2771553,https://www.geonames.org/2771553,48.44885,14.3714,,Austria,0,,Austria
vothL3,Trofaiach,/location/Trofaiach,GeoNames,https://www.geonames.org/2763332,https://www.geonames.org/2763332,47.42524,15.00681,,Austria,0,,Austria
vothL4,Judenburg,/location/Judenburg,GeoNames,https://www.geonames.org/2775020,https://www.geonames.org/2775020,47.16667,14.66667,,Austria,0,,Austria
vothL5,Linz,/location/Linz,GeoNames,https://www.geonames.org/2772400,https://www.geonames.org/2772400,48.30639,14.28611,,Austria,0,,Austria
vothL9,Gabersdorf,/location/Gabersdorf,GeoNames,https://www.geonames.org/2779064,https://www.geonames.org/2779064,46.77722,15.58417,,Austria,0,,Austria
vothL171,Mauthausen,/location/Mauthausen,GeoNames,https://www.geonames.org/2771760,https://www.geonames.org/2771760,48.24114,14.51963,,Austria,0,,Austria
vothL355,Herzogenburg,/location/Herzogenburg,GeoNames,https://www.geonames.org/2776470,https://www.geonames.org/2776470,48.28137,15.69431,,Austria,0,,Austria
vothL419,Bludenz,/location/Bludenz,GeoNames,https://www.geonames.org/2781680,https://www.geonames.org/2781680,47.15476,9.82255,,Austria,0,,Austria
vothL426,Salzburg,/location/Salzburg,GeoNames,https://www.geonames.org/2766823,https://www.geonames.org/2766823,47.41667,13.25,,Austria,0,,Austria
vothL427,Innsbruck,/location/Innsbruck,GeoNames,https://www.geonames.org/2775220,https://www.geonames.org/2775220,47.26266,11.39454,,Austria,0,,Austria
vothL430,Bregenz,/location/Bregenz,GeoNames,https://www.geonames.org/2781503,https://www.geonames.org/2781503,47.50311,9.7471,,Austria,0,,Austria
vothL455,Enns,/location/Enns,GeoNames,https://www.geonames.org/2780047,https://www.geonames.org/2780047,48.23333,14.5,,Austria,0,,Austria
vothL479,Deutschkreuz,/location/Deutschkreutz,GeoNames,https://www.geonames.org/2781024,https://www.geonames.org/2781024,47.6,16.63333,,Austria,0,,Austria
vothL482,Braunau am Inn,/location/Braunau-am-Inn,GeoNames,https://www.geonames.org/2781520,https://www.geonames.org/2781520,48.25628,13.04343,,Austria,0,,Austria
vothL585,Glasenbach,/location/Glasenbach,GeoNames,https://www.geonames.org/2778514,https://www.geonames.org/2778514,47.76667,13.08333,,Austria,0,,Austria
vothL592,Villach,/location/Villach,GeoNames,https://www.geonames.org/2762372,https://www.geonames.org/2762372,46.61028,13.85583,,Austria,0,,Austria
vothL614,Feldkirch,/location/Feldkirch,GeoNames,https://www.geonames.org/2779674,https://www.geonames.org/2779674,47.23306,9.6,,Austria,0,,Austria
vothL390,Baku,/location/Baku,GeoNames,https://www.geonames.org/587084,https://www.geonames.org/587084,40.37767,49.89201,,Azerbaijan,0,,Azerbaijan
vothL6,Pinsk,/location/Pinsk,GeoNames,https://www.geonames.org/623549,https://www.geonames.org/623549,52.1229,26.0951,,Belarus,0,,Belarus
vothL7,Slonim,/location/Slonim,GeoNames,https://www.geonames.org/621754,https://www.geonames.org/621754,53.0869,25.3163,,Belarus,0,,Belarus
vothL398,Baranovichi,/location/Baranovichi,GeoNames,https://www.geonames.org/630425,https://www.geonames.org/630425,55.0919,26.9223,,Belarus,0,,Belarus
vothL433,Minsk,/location/Minsk,GeoNames,https://www.geonames.org/625144,https://www.geonames.org/625144,53.9,27.56667,,Belarus,0,,Belarus
vothL434,Chervyen’ ,/location/Chervyen',GeoNames,https://www.geonames.org/629273,https://www.geonames.org/629273,53.7059,28.4313,,Belarus,0,,Belarus
vothL471,Lyntupy,/location/Lyntupy,GeoNames,https://www.geonames.org/625737,https://www.geonames.org/625737,55.0516,26.3103,,Belarus,0,,Belarus
vothL472,Shudovtsy,/location/Shudovtsy,GeoNames,https://www.geonames.org/621997,https://www.geonames.org/621997,55.0667,26.3281,,Belarus,0,,Belarus
vothL478,Zharki,/location/Zharki,GeoNames,https://www.geonames.org/618898,https://www.geonames.org/618898,55.0835,29.9233,,Belarus,0,,Belarus
vothL508,Brest,/location/Brest,GeoNames,https://www.geonames.org/629634,https://www.geonames.org/629634,52.09755,23.68775,,Belarus,0,,Belarus
vothL528,Vawkavysk,/location/Volkovysk,GeoNames,https://www.geonames.org/620391,https://www.geonames.org/620391,53.1561,24.4513,,Belarus,0,,Belarus
vothL146,Antwerp,/location/Antwerpen,GeoNames,https://www.geonames.org/2803138,https://www.geonames.org/2803138,51.22047,4.40026,,Belgium,0,,Belgium
vothL264,Namur,/location/Namur,GeoNames,https://www.geonames.org/2790471,https://www.geonames.org/2790471,50.4669,4.86746,,Belgium,0,,Belgium
vothL266,Philippeville,/location/Philippeville,GeoNames,https://www.geonames.org/2789016,https://www.geonames.org/2789016,50.19612,4.54374,,Belgium,0,,Belgium
vothL327,Brussels,/location/Brussels,GeoNames,https://www.geonames.org/2800866,https://www.geonames.org/2800866,50.85045,4.34878,,Belgium,0,,Belgium
vothL414,Rio de Janeiro,/location/Rio-de-Janeiro,GeoNames,https://www.geonames.org/3451190,https://www.geonames.org/3451190,-22.90642,-43.18223,,Brazil,0,,Brazil
vothL8,Santiago,/location/Santiago,GeoNames,https://www.geonames.org/3871336,https://www.geonames.org/3871336,-33.45694,-70.64827,,Chile,0,,Chile
vothL384,Temuco,/location/Temuco,GeoNames,https://www.geonames.org/3870011,https://www.geonames.org/3870011,-38.73965,-72.59842,,Chile,0,,Chile
vothL546,Osorno,/location/Osorno,GeoNames,https://www.geonames.org/3877949,https://www.geonames.org/3877949,-40.57395,-73.13348,,Chile,0,,Chile
vothL386,Shanghai,/location/Shanghai,GeoNames,https://www.geonames.org/1796236,https://www.geonames.org/1796236,31.22222,121.45806,,China,0,,China
vothL418,Doubrava,/location/Doubrava,GeoNames,https://www.geonames.org/3076550,https://www.geonames.org/3076550,50.02342,15.33422,,Czech Republic,0,,Czech Republic
vothL421,Mariánské Lázně,/location/Marianske-Lazne,GeoNames,https://www.geonames.org/3071024,https://www.geonames.org/3071024,49.96459,12.70118,,Czech Republic,0,,Czech Republic
vothL473,Karviná,/location/Karvina,GeoNames,https://www.geonames.org/3073789,https://www.geonames.org/3073789,49.854,18.54169,,Czech Republic,0,,Czech Republic
vothL10,Chynadiyovo,/location/Chynadiyovo,GeoNames,https://www.geonames.org/710463,https://www.geonames.org/710463,48.48179,22.8217,,Ukraine,0,,Ukraine
vothL50,Terezín,/location/Terezin,GeoNames,https://www.geonames.org/3064267,https://www.geonames.org/3064267,50.57326,15.71732,,Czech Republic,0,,Czech Republic
vothL71,Mukacheve,/location/Mukacheve,GeoNames,https://www.geonames.org/700646,https://www.geonames.org/700646,48.43919,22.71779,,Ukraine,0,,Ukraine
vothL157,Niznii Verezky,/location/,GeoNames,,,,,,Czech Republic,0,,Czech Republic
vothL161,Solotvyno,/location/Solotvyno,GeoNames,https://www.geonames.org/693176,https://www.geonames.org/693176,47.94604,23.87035,,Ukraine,0,,Ukraine
vothL227,Vyhne,/location/Vyhne,GeoNames,https://www.geonames.org/3056668,https://www.geonames.org/3056668,48.50571,18.80137,,Slovakia,0,,Slovakia
vothL228,Sudeten,/location/Sudeten,GeoNames,https://www.geonames.org/3064720,https://www.geonames.org/3064720,50.5,16,,Czech Republic,0,,Czech Republic
vothL230,Carpathian Mountains Region,/location/,GeoNames,,,,,,Czech Republic,0,,Czech Republic
vothL298,Praha,/location/Praha,GeoNames,https://www.geonames.org/3067697,https://www.geonames.org/3067697,49.65829,13.8178,,Czech Republic,0,,Czech Republic
vothL352,Neuschonstau,/location/,GeoNames,,,,,,Czech Republic,0,,Czech Republic
