UID,Name,URL_alias,Source,URL ,Alt_text,Latitude,Longitude,Description
vothL968,Austria,/locations/Austria,GeoNames,https://www.geonames.org/2782113/,https://www.geonames.org/2782113/,47.33333,13.33333,
vothL969,Belarus,/locations/Belarus,GeoNames,https://www.geonames.org/630336/,https://www.geonames.org/630336/,53,28,
vothL970,Chile,/locations/Chile,GeoNames,https://www.geonames.org/3895114/,https://www.geonames.org/3895114/,-30,-71,
vothL226,Czechoslovakia,/locations/Czechoslovakia,GeoNames,https://www.geonames.org/8505031/,https://www.geonames.org/8505031/,50.08292,14.46672,historical political entity
vothL235,Estonia,/locations/Estonia,GeoNames,https://www.geonames.org/453733/,https://www.geonames.org/453733/,59,26,
vothL124,France,/locations/France,GeoNames,https://www.geonames.org/3017382/,https://www.geonames.org/3017382/,46,2,
vothL125,Germany,/locations/Germany,GeoNames,https://www.geonames.org/2921044/,https://www.geonames.org/2921044/,51.5,10.5,
vothL222,Poland,/locations/Poland,GeoNames,https://www.geonames.org/798544/,https://www.geonames.org/798544/,52,20,
vothL219,Greece,/locations/Greece,GeoNames,https://www.geonames.org/390903/,https://www.geonames.org/390903/,39,22,
vothL225,Hungary,/locations/Hungary,GeoNames,https://www.geonames.org/719819/,https://www.geonames.org/719819/,47,20,
vothL971,Italy,/locations/Italy,GeoNames,https://www.geonames.org/3175395/,https://www.geonames.org/3175395/,42.83333,12.83333,
vothL972,Lithuania,/locations/Lithuania,GeoNames,https://www.geonames.org/597427/,https://www.geonames.org/597427/,55.41667,24,
vothL973,Romania,/locations/Romania,GeoNames,https://www.geonames.org/798549/,https://www.geonames.org/798549/,46,25,
vothL223,Russia,/locations/Russia,GeoNames,https://www.geonames.org/2017370/,https://www.geonames.org/2017370/,60,100,
vothL974,Slovakia,/locations/Slovakia,GeoNames,https://www.geonames.org/3057568/,https://www.geonames.org/3057568/,48.66667,19.5,
vothL975,Switzerland,/locations/Switzerland,GeoNames,https://www.geonames.org/2658434/,https://www.geonames.org/2658434/,47.00016,8.01427,
vothL229,Ukraine,/locations/Ukraine,GeoNames,https://www.geonames.org/690791/,https://www.geonames.org/690791/,49,32,
vothL233,Latvia,/locations/Latvia,GeoNames,https://www.geonames.org/458258/,https://www.geonames.org/458258/,57,25,
vothL976,Palestine,/locations/Palestine,GeoNames,https://www.geonames.org/6254930/,https://www.geonames.org/6254930/,31.92157,35.20329,semi-independent political entity
vothL977,Belgium,/locations/Belgium,GeoNames,https://www.geonames.org/2802361/,https://www.geonames.org/2802361/,50.75,4.5,
vothL978,Georgia,/locations/Georgia,GeoNames,https://www.geonames.org/614540/,https://www.geonames.org/614540/,41.99998,43.4999,
vothL979,Spain,/locations/Spain,GeoNames,https://www.geonames.org/2510769/,https://www.geonames.org/2510769/,40,-4,
vothL232,Albania,/locations/Albania,GeoNames,https://www.geonames.org/783754/,https://www.geonames.org/783754/,41,20,
vothL980,United States,/locations/United_States,GeoNames,https://www.geonames.org/6252001/,https://www.geonames.org/6252001/,39.76,-98.5,
vothL981,United Kingdom,/locations/United_Kingdom,GeoNames,https://www.geonames.org/2635167/,https://www.geonames.org/2635167/,54.75844,-2.69531,
vothL982,Morocco,/locations/Morocco,GeoNames,https://www.geonames.org/2542007/,https://www.geonames.org/2542007/,32,-6,
vothL983,Argentina,/locations/Argentina,GeoNames,https://www.geonames.org/3865483/,https://www.geonames.org/3865483/,-34,-64,
vothL984,Algeria,/locations/Algeria,GeoNames,https://www.geonames.org/2589581/,https://www.geonames.org/2589581/,28,3,
vothL985,Hungray,/locations/Hungray,GeoNames,https://www.geonames.org/719819/,https://www.geonames.org/719819/,47,20,
vothL986,Turkmenistan,/locations/Turkmenistan,GeoNames,https://www.geonames.org/1218197/,https://www.geonames.org/1218197/,39.75,59.66667,
vothL987,Turkey,/locations/Turkey,GeoNames,https://www.geonames.org/298795/,https://www.geonames.org/298795/,39,35,
vothL988,China,/locations/China,GeoNames,https://www.geonames.org/1814991/,https://www.geonames.org/1814991/,35,105,
vothL989,Azerbaijan,/locations/Azerbaijan,GeoNames,https://www.geonames.org/587116/,https://www.geonames.org/587116/,40.5,47.5,
vothL990,Uzbekistan,/locations/Uzbekistan,GeoNames,https://www.geonames.org/1512440/,https://www.geonames.org/1512440/,41.66667,63.83333,
vothL991,Brazil,/locations/Brazil,GeoNames,https://www.geonames.org/3469034/,https://www.geonames.org/3469034/,-10,-55,
vothL992,Czech Republic,/locations/Czech_Republic,GeoNames,https://www.geonames.org/3077311/,https://www.geonames.org/3077311/,49.75,15,
vothL993,South Africa,/locations/South_Africa,GeoNames,https://www.geonames.org/953987/,https://www.geonames.org/953987/,-29,24,
vothL994,Mexico,/locations/Mexico,GeoNames,https://www.geonames.org/3996063/,https://www.geonames.org/3996063/,23,-102,
vothL995,Serbia,/locations/Serbia,GeoNames,https://www.geonames.org/6290252/,https://www.geonames.org/6290252/,44.81892,20.45998,
vothL996,Egypt,/locations/Egypt,GeoNames,https://www.geonames.org/357994/,https://www.geonames.org/357994/,27,30,
vothL997,Kazakhstan,/locations/Kazakhstan,GeoNames,https://www.geonames.org/1522867/,https://www.geonames.org/1522867/,48,68,
vothL998,Portugal,/locations/Portugal,GeoNames,https://www.geonames.org/2264397/,https://www.geonames.org/2264397/,39.6945,-8.13057,
vothL999,Tajikistan,/locations/Tajikistan,GeoNames,https://www.geonames.org/1220409/,https://www.geonames.org/1220409/,39,71,
